Data information of 192.168.250.1
Time,Sent Data, Total Data
2020-02-25 03:39:17,848,227617
2020-02-25 03:39:31,322,227939
2020-02-25 03:39:31,124,228063
2020-02-25 03:39:31,140,228203
2020-02-25 03:39:33,1062,229265
2020-02-25 03:39:33,761,230026
2020-02-25 03:39:33,1076,231102
2020-02-25 03:39:33,848,231950
2020-02-25 03:39:39,218,232168
2020-02-25 03:39:42,152,232320
2020-02-25 03:39:48,624,232944
2020-02-25 03:40:03,322,233266
2020-02-25 03:40:03,124,233390
2020-02-25 03:40:03,140,233530
2020-02-25 03:40:03,1062,234592
2020-02-25 03:40:03,761,235353
2020-02-25 03:40:03,1076,236429
2020-02-25 03:40:03,848,237277
2020-02-25 03:40:14,740,238017
2020-02-25 03:40:14,152,238169
2020-02-25 03:40:17,440,238609
2020-02-25 03:40:18,606,239215
2020-02-25 03:40:34,322,239537
2020-02-25 03:40:34,124,239661
2020-02-25 03:40:34,140,239801
2020-02-25 03:40:39,218,240019
2020-02-25 03:40:44,462,240481
2020-02-25 03:40:44,468,240949
2020-02-25 03:40:46,152,241101
2020-02-25 03:40:49,1048,242149
2020-02-25 03:40:49,990,243139
2020-02-25 03:40:50,998,244137
2020-02-25 03:40:51,1052,245189
2020-02-25 03:40:51,788,245977
2020-02-25 03:40:51,936,246913
2020-02-25 03:41:03,624,247537
2020-02-25 03:41:05,322,247859
2020-02-25 03:41:05,124,247983
2020-02-25 03:41:05,140,248123
2020-02-25 03:41:08,580,248703
2020-02-25 03:41:16,470,249173
2020-02-25 03:41:17,772,249945
2020-02-25 03:41:17,740,250685
2020-02-25 03:41:17,708,251393
2020-02-25 03:41:19,152,251545
2020-02-25 03:41:21,934,252479
2020-02-25 03:41:36,322,252801
2020-02-25 03:41:36,124,252925
2020-02-25 03:41:39,218,253143
2020-02-25 03:41:42,740,253883
2020-02-25 03:41:51,152,254035
2020-02-25 03:41:54,468,254503
2020-02-25 03:41:54,382,254885
2020-02-25 03:41:54,512,255397
2020-02-25 03:42:07,262,255659
2020-02-25 03:42:07,322,255981
2020-02-25 03:42:07,124,256105
2020-02-25 03:42:07,140,256245
2020-02-25 03:42:09,200,256445
2020-02-25 03:42:09,1054,257499
2020-02-25 03:42:09,998,258497
2020-02-25 03:42:10,936,259433
2020-02-25 03:42:12,1074,260507
2020-02-25 03:42:12,767,261274
2020-02-25 03:42:23,152,261426
2020-02-25 03:42:29,152,261578
2020-02-25 03:42:30,1062,262640
2020-02-25 03:42:30,777,263417
2020-02-25 03:42:33,120,263537
2020-02-25 03:42:33,1074,264611
2020-02-25 03:42:33,767,265378
2020-02-25 03:42:39,322,265700
2020-02-25 03:42:39,124,265824
2020-02-25 03:42:39,140,265964
2020-02-25 03:42:40,218,266182
2020-02-25 03:42:44,642,266824
2020-02-25 03:42:52,740,267564
2020-02-25 03:42:55,152,267716
2020-02-25 03:43:04,1062,268778
2020-02-25 03:43:04,777,269555
2020-02-25 03:43:10,322,269877
2020-02-25 03:43:10,124,270001
2020-02-25 03:43:10,140,270141
2020-02-25 03:43:12,142,270283
2020-02-25 03:43:16,1026,271309
2020-02-25 03:43:17,1062,272371
2020-02-25 03:43:17,761,273132
2020-02-25 03:43:17,438,273570
2020-02-25 03:43:17,1076,274646
2020-02-25 03:43:17,848,275494
2020-02-25 03:43:17,1076,276570
2020-02-25 03:43:17,768,277338
2020-02-25 03:43:17,1072,278410
2020-02-25 03:43:17,766,279176
2020-02-25 03:43:17,1064,280240
2020-02-25 03:43:17,810,281050
2020-02-25 03:43:18,1054,282104
2020-02-25 03:43:19,936,283040
2020-02-25 03:43:20,1074,284114
2020-02-25 03:43:20,767,284881
2020-02-25 03:43:22,736,285617
2020-02-25 03:43:22,832,286449
2020-02-25 03:43:22,1066,287515
2020-02-25 03:43:22,763,288278
2020-02-25 03:43:24,142,288420
2020-02-25 03:43:24,1070,289490
2020-02-25 03:43:28,152,289642
2020-02-25 03:43:33,1062,290704
2020-02-25 03:43:33,761,291465
2020-02-25 03:43:33,1076,292541
2020-02-25 03:43:33,848,293389
2020-02-25 03:43:34,1066,294455
2020-02-25 03:43:34,843,295298
2020-02-25 03:43:36,934,296232
2020-02-25 03:43:39,124,296356
2020-02-25 03:43:40,218,296574
2020-02-25 03:43:41,322,296896
2020-02-25 03:43:41,124,297020
2020-02-25 03:43:41,140,297160
2020-02-25 03:43:55,440,297600
2020-02-25 03:44:00,152,297752
